ကကစူပမသုတ်	1	1	300
ကကစူပမသုတ်အဖွင့်	1	3	485
ကကုဓထေရသုတ်	1	1	309
ကကုဓသုတ်	1	1	303
ကကုဓသုတ်အဖွင့်	1	3	438
ကင်္ခေယျသုတ်	1	1	303
ကစ္စာနဂေါတ္တသုတ်	1	1	303
ကစ္စာနဂေါတ္တသုတ်အဖွင့်	1	3	438
ကဋုဝိယသုတ္တဝဏ္ဏနာ	1	3	389
ကဋုဝိယသုတ်	1	1	309
ကဋ္ဌဟာရသုတ်အဖွင့်	1	3	438
ကဋ္ဌီသုတ်	1	1	310
ကဋ္ဌောပမသုတ်	1	1	303
ကဋ္ဌောပမာသုတ်အဖွင့်	1	3	438
ကဏ္ဋကသုတ်	1	1	309
ကဏ္ဍကီသုတ်	1	1	303
ကဏ္ဏကတ္ထလသုတ်	1	1	300
ကဏ္ဏကတ္ထလသုတ်အဖွင့်	1	3	485
ကဏှသပ္ပသုတ်	1	1	309
ကဏှသုတ္တဝဏ္ဏနာ	1	3	389
ကဏှသုတ်	1	1	310
ကတမောဒကတိဿသုတ်	1	1	303
ကတိဆိန္ဒသုတ်	1	1	303
ကတိဆိန္ဒသုတ်အဖွင့်	1	3	438
ကထာပဝတ္တိသုတ္တဝဏ္ဏနာ	1	3	389
ကထာပဝတ္တိသုတ်	1	1	310
ကထာဝတ္ထုသုတ္တဝဏ္ဏနာ	1	3	389
ကထာဝတ္ထုသုတ်	1	1	310
ကန္ဒရသုတ်	1	1	300
ကန္ဒရသုတ်အဖွင့်	1	3	485
ကပ္ပသဟဿသုတ်	1	1	304
ကပ္ပသုတ္တာဒိဝဏ္ဏနာ	1	3	79
ကပ္ပသုတ်	1	1	303
ကမ္ဗောဇသုတ်	1	1	310
ကမ္မနိဒါနသုတ်	1	1	310
ကမ္မနိရောဓသုတ်	1	1	304
ကမ္မနိရောဓသုတ်အဖွင့်	1	3	438
ကမ္မန္တသုတ်	1	1	310
ကမ္မဝိပါကဇသုတ်	1	1	318
ကမ္မဝိဘင်္ဂ (စူဠ) သုတ်	1	1	300
ကမ္မဝိဘင်္ဂ (မဟာ)သုတ်	1	1	300
ကရောတောသုတ်	1	1	304
ကရောတောသုတ်အဖွင့်	1	3	438
ကလဟဝိဝါဒသုတ်	1	1	262
ကလိင်္ဂရသုတ်	1	1	304
ကလိင်္ဂရသုတ်အဖွင့်	1	3	439
ကလျာဏမိတ္တသုတ်အဖွင့်	1	3	439
ကလျာဏသီလသုတ်	1	1	318
ကလျာဏီသုတ်	1	1	304
ကဝိသုတ်	1	1	304
ကသိဏသုတ္တဝဏ္ဏနာ	1	3	389
ကသိဘာရဒွါဇသုတ်	1	1	265
ကသိဘာရဒွါဇသုတ်အဖွင့်	1	3	439
ကဠာရသုတ်	1	1	304
ကဠာရသုတ်အဖွင့်	1	3	439
ကာကသုတ်	1	1	311
ကာမဂုဏသုတ်	1	1	305
ကာမဂုဏသုတ်အဖွင့်	1	3	440
ကာမဒသုတ်	1	1	305
ကာမဒသုတ်အဖွင့်	1	3	440
ကာမဘူ (ပဌမ)သုတ်အဖွင့်	1	3	440
ကာမဘူသုတ်	1	1	305
ကာမဘောဂီသုတ်	1	1	311
ကာမယောဂသုတ်	1	1	318
ကာမသုတ္တဝဏ္ဏနာ	1	3	390
ကာမသုတ်	1	1	304
ကာမသုတ်	1	1	311
ကာမသုတ်	1	1	319
ကာမသုတ်အဖွင့်	1	3	439
ကာမူပပတ္တိသုတ်	1	1	319
ကာယဂတာသတိသုတ်	1	1	269
ကာယသုတ်	1	1	305
ကာယသုတ်	1	1	311
ကာယသုတ်အဖွင့်	1	3	440
ကာရဏပါလီသုတ်	1	1	311
ကာရဏ္ဍဝသုတ္တဝဏ္ဏနာ	1	3	86
ကာရဏ္ဍဝသုတ်	1	1	311
ကာလတ္တယ အနိစ္စ ဒုက္ခ အနတ္တသုတ်	1	1	305
ကာလတ္တယ အနိစ္စဒုက္ခသုတ္တာဒိဝဏ္ဏနာ	1	3	440
ကာလဒါနသုတ္တာဒိဝဏ္ဏနာ	1	3	390
ကာလဒါနသုတ်	1	1	312
ကာလသုတ္တာဒိဝဏ္ဏနာ	1	3	390
ကာလသုတ်	1	1	311
ကာလာမသုတ်လာ အနုဿဝ အာစရိယမရမ္ပရ စသော ပုဒ်များအဖွင့်	1	3	521
ကာဠကာရာမသုတ္တဝဏ္ဏနာ	1	3	390
ကာဠကာရာမသုတ်	1	1	312
ကာဠိဂေါဓသုတ်	1	1	305
ကာဠီသုတ်	1	1	312
ကာဠီသုတ်အဖွင့်	1	3	390
ကိစ္ဆကသုတ်	1	1	544
ကိန္တိသုတ်	1	1	301
ကိန္တိသုတ်အဖွင့်	1	3	486
ကိန္နုသီဟသုတ်	1	1	306
ကိမတ္ထိယသုတ္တဝဏ္ဏနာ	1	3	390
ကိမတ္ထိယသုတ်	1	1	306
ကိမတ္ထိယသုတ်	1	1	312
ကိမတ္ထိယသုတ်အဖွင့်	1	3	440
ကိမိလသုတ်	1	1	306
ကိမိလသုတ်	1	1	312
ကိမိလသုတ်အဖွင့်	1	3	440
ကိုယ့်ကိုကိုယ်ဖျက် ကိုယ်ပင်ပျက် ပျက်စီးရကြောင်း ဟောသော အစိရပက္ကန္တသုတ်	1	1	297
ကိုယ့်ကိုသာ ကိုယ်အချစ်ဆုံးဖြစ်ကြောင်း ဟောသော မလ္လိကာသုတ်	1	1	297
ကိုယ်ပိုင်ဉာဏ်ဖြင့် ဆုံးဖြတ်ရန် ဟောထားသော ကေသမုတ္တိသုတ်	1	1	298
ကိံဒဒသုတ်	1	1	306
ကိံဒဒသုတ်အဖွင့်	1	3	440
ကိံဒိဋ္ဌိကသုတ်	1	1	312
ကိံသီလသုတ်	1	1	319
ကိံသုကောပမသုတ်	1	1	306
ကိံသုကောပမသုတ်အဖွင့်	1	3	440
ကီဋာဂိရိသုတ်	1	1	302
ကီဋာဂီရိသုတ်အဖွင့်	1	3	486
ကုက္ကုဋာရာမသုတ်	1	1	306
ကုက္ကုဋာဝဂ် ကုက္ကုဋသုတ်	1	1	306
ကုက္ကုရဝတီသုတ်	1	1	302
ကုက္ကုရဝတီသုတ်အဖွင့်	1	3	486
ကုက္ကုဠသုတ္တာဒိဝဏ္ဏနာ	1	3	440
ကုဋဒန္တသုတ္တ	1	1	341
ကုဋိကာသုတ်	1	1	306
ကုဋိကာသုတ်အဖွင့်	1	3	441
ကုဏ္ဍလိယသုတ်	1	1	306
ကုဏ္ဍလိယသုတ်အဖွင့်	1	3	441
ကုတူဟလသာလာသုတ်	1	1	306
ကုမာရကသုတ်	1	1	318
ကုမ္ဘဏ္ဍသုတ်	1	1	307
ကုမ္ဘသုတ္တဝဏ္ဏနာ	1	3	391
ကုမ္ဘသုတ်	1	1	307
ကုမ္မသုတ်	1	1	307
ကုမ္မသုတ်အဖွင့်	1	3	441
ကုမ္မောပမသုတ်	1	1	307
ကုမ္မောပမသုတ်အဖွင့်	1	3	441
ကုလဃရဏီသုတ်	1	1	307
ကုလဃရဏီသုတ်အဖွင့်	1	3	441
ကုလပုတ္တသုတ်	1	1	307
ကုလသုတ်	1	1	307
ကုလသုတ်	1	1	312
ကုလသုတ်	1	1	313
ကုလသုတ်အဖွင့်	1	3	441
ကုလာဝကသုတ်	1	1	307
ကုလာဝကသုတ်အဖွင့်	1	3	441
ကုလူပကသုတ္တာဒိဝဏ္ဏနာ	1	3	391
ကုလူပကသုတ်	1	1	278
ကုလူပကသုတ်အဖွင့်	1	3	441
ကုသလဓမ္မတို့ကို မရစေနိုင်၊ ရစေနိုင်၊ မပွားစီးစေနိုင်၊ ပွားစီးစေနိုင်သော အင်္ဂါ ခြောက်ပါးစီ ဟောသော အဓိဂမသုတ်	1	1	313
ကုသလမူလသုတ်	1	1	307
ကုသလရာသိသုတ်	1	1	308
ကုသလသုတ်	1	1	308
ကုသိနာရသုတ္တာဒိဝဏ္ဏနာ	1	3	391
ကုသိနာရသုတ်	1	1	313
ကုသီတမူလကသုတ်	1	1	308
ကုဟကသုတ္တဝဏ္ဏနာ	1	3	90
ကုဟသုတ္တဝဏ္ဏနာ	1	3	391
ကုဟသုတ်	1	1	313
ကုဟသုတ်	1	1	319
ကူဋဒန္တသုတ္တဝဏ္ဏနာ	1	3	90
ကူဋသုတ်	1	1	308
ကူဋသုတ်အဖွင့်	1	3	442
ကူဋာဂါရသုတ်	1	1	308
ကူဋာဒိသုတ်	1	1	308
ကေဝဋ္ဋသုတ္တဝဏ္ဏနာ	1	3	91
ကေသကမ္ဗလသုတ္တာဒိဝဏ္ဏနာ	1	3	391
ကေသကမ္ဗလသုတ်	1	1	313
ကေသမုတ္တိသုတ္တဝဏ္ဏနာ	1	3	391
ကေသမုတ္တိသုတ်	1	1	313
ကေသိသုတ်	1	1	313
ကောကနုဒသုတ္တာဒိဝဏ္ဏနာ	1	3	392
ကောကနုဒသုတ်	1	1	314
ကောကာလိကသုတ်	1	1	283
ကောကာလိကသုတ်	1	1	308
ကောကာလိကသုတ်	1	3	392
ကောကာလိကသုတ်အဖွင့်	1	3	442
ကောဋိဂါမသုတ်	1	1	308
ကောဋ္ဌိကသုတ်	1	1	308
ကောဋ္ဌိကသုတ်	1	1	314
ကောဋ္ဌိကသုတ်	1	3	392
